date,state,in_lockdown,Community Sport,Schools,Gyms,Place worship,Clubs,Dine in,Indoor gathering,Outdoor gathering
1/25/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/25/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/25/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/25/2020,Queensland,0,0,0,0,0,0,0,0,0
1/25/2020,South Australia,0,0,0,0,0,0,0,0,0
1/25/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/25/2020,Victoria,0,0,0,0,0,0,0,0,0
1/25/2020,Western Australia,0,0,0,0,0,0,0,0,0
1/26/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/26/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/26/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/26/2020,Queensland,0,0,0,0,0,0,0,0,0
1/26/2020,South Australia,0,0,0,0,0,0,0,0,0
1/26/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/26/2020,Victoria,0,0,0,0,0,0,0,0,0
1/26/2020,Western Australia,0,0,0,0,0,0,0,0,0
1/27/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/27/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/27/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/27/2020,Queensland,0,0,0,0,0,0,0,0,0
1/27/2020,South Australia,0,0,0,0,0,0,0,0,0
1/27/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/27/2020,Victoria,0,0,0,0,0,0,0,0,0
1/27/2020,Western Australia,0,0,0,0,0,0,0,0,0
1/28/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/28/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/28/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/28/2020,Queensland,0,0,0,0,0,0,0,0,0
1/28/2020,South Australia,0,0,0,0,0,0,0,0,0
1/28/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/28/2020,Victoria,0,0,0,0,0,0,0,0,0
1/28/2020,Western Australia,0,0,0,0,0,0,0,0,0
1/29/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/29/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/29/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/29/2020,Queensland,0,0,0,0,0,0,0,0,0
1/29/2020,South Australia,0,0,0,0,0,0,0,0,0
1/29/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/29/2020,Victoria,0,0,0,0,0,0,0,0,0
1/29/2020,Western Australia,0,0,0,0,0,0,0,0,0
1/30/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/30/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/30/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/30/2020,Queensland,0,0,0,0,0,0,0,0,0
1/30/2020,South Australia,0,0,0,0,0,0,0,0,0
1/30/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/30/2020,Victoria,0,0,0,0,0,0,0,0,0
1/30/2020,Western Australia,0,0,0,0,0,0,0,0,0
1/31/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
1/31/2020,New South Wales,0,0,0,0,0,0,0,0,0
1/31/2020,Northern Territory,0,0,0,0,0,0,0,0,0
1/31/2020,Queensland,0,0,0,0,0,0,0,0,0
1/31/2020,South Australia,0,0,0,0,0,0,0,0,0
1/31/2020,Tasmania,0,0,0,0,0,0,0,0,0
1/31/2020,Victoria,0,0,0,0,0,0,0,0,0
1/31/2020,Western Australia,0,0,0,0,0,0,0,0,0
02-01-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-01-20,New South Wales,0,0,0,0,0,0,0,0,0
02-01-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-01-20,Queensland,0,0,0,0,0,0,0,0,0
02-01-20,South Australia,0,0,0,0,0,0,0,0,0
02-01-20,Tasmania,0,0,0,0,0,0,0,0,0
02-01-20,Victoria,0,0,0,0,0,0,0,0,0
02-01-20,Western Australia,0,0,0,0,0,0,0,0,0
02-02-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-02-20,New South Wales,0,0,0,0,0,0,0,0,0
02-02-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-02-20,Queensland,0,0,0,0,0,0,0,0,0
02-02-20,South Australia,0,0,0,0,0,0,0,0,0
02-02-20,Tasmania,0,0,0,0,0,0,0,0,0
02-02-20,Victoria,0,0,0,0,0,0,0,0,0
02-02-20,Western Australia,0,0,0,0,0,0,0,0,0
02-03-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-03-20,New South Wales,0,0,0,0,0,0,0,0,0
02-03-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-03-20,Queensland,0,0,0,0,0,0,0,0,0
02-03-20,South Australia,0,0,0,0,0,0,0,0,0
02-03-20,Tasmania,0,0,0,0,0,0,0,0,0
02-03-20,Victoria,0,0,0,0,0,0,0,0,0
02-03-20,Western Australia,0,0,0,0,0,0,0,0,0
02-04-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-04-20,New South Wales,0,0,0,0,0,0,0,0,0
02-04-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-04-20,Queensland,0,0,0,0,0,0,0,0,0
02-04-20,South Australia,0,0,0,0,0,0,0,0,0
02-04-20,Tasmania,0,0,0,0,0,0,0,0,0
02-04-20,Victoria,0,0,0,0,0,0,0,0,0
02-04-20,Western Australia,0,0,0,0,0,0,0,0,0
02-05-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-05-20,New South Wales,0,0,0,0,0,0,0,0,0
02-05-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-05-20,Queensland,0,0,0,0,0,0,0,0,0
02-05-20,South Australia,0,0,0,0,0,0,0,0,0
02-05-20,Tasmania,0,0,0,0,0,0,0,0,0
02-05-20,Victoria,0,0,0,0,0,0,0,0,0
02-05-20,Western Australia,0,0,0,0,0,0,0,0,0
